variant,seed,db_path,local_context_final,compressed_global_context_final,total_mutations,total_failures,unique_global_failures,time_to_40,time_to_43,time_to_46,auc_normalized,floor_mode_share_post_cs,adaptive_mode_share_post_cs,cold_decisions,mean_elapsed_ms,proof_generated_count,proof_verify_failed_count,floor_schedule_type,floor_schedule_config
V5-decayepoch,1234,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1234_n6000.db,46,190,6000,21257,16440,1260,1612,2437,0.9267427536231884,0.6289655172413793,0.37103448275862067,144.0,2910.284833333333,5894.0,5894.0,epoch,"{""boundaries"": [[0, 0.55], [2000, 0.35], [4000, 0.2]], ""epoch_size"": 100}"
V5-decayepoch,1235,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/polynize_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1235_n6000.db,47,197,6000,20716,16561,1026,1585,2494,0.9484800724637681,0.6289655172413793,0.37103448275862067,144.0,2917.411833333333,5906.0,5906.0,epoch,"{""boundaries"": [[0, 0.55], [2000, 0.35], [4000, 0.2]], ""epoch_size"": 100}"
V5-decayepoch,1236,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/gard_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1236_n6000.db,47,177,6000,22216,17072,397,1237,3356,0.9556829710144927,0.6289655172413793,0.37103448275862067,144.0,3265.3723333333332,5913.0,5913.0,epoch,"{""boundaries"": [[0, 0.55], [2000, 0.35], [4000, 0.2]], ""epoch_size"": 100}"
V5-decayepoch,1237,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/zone_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1237_n6000.db,46,193,6000,21279,16533,285,460,2837,0.9697826086956521,0.6289655172413793,0.37103448275862067,144.0,3264.5835,5911.0,5911.0,epoch,"{""boundaries"": [[0, 0.55], [2000, 0.35], [4000, 0.2]], ""epoch_size"": 100}"
V5-decayepoch,1238,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayepoch_seed1238_n6000.db,46,183,6000,21104,16905,405,837,3537,0.9570797101449275,0.6289655172413793,0.37103448275862067,144.0,2888.26,5898.0,5898.0,epoch,"{""boundaries"": [[0, 0.55], [2000, 0.35], [4000, 0.2]], ""epoch_size"": 100}"
V5-decayexp,1234,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1234_n6000.db,46,192,6000,22722,17279,656,972,2987,0.9516630434782609,0.48,0.52,144.0,2914.5896666666667,5888.0,5888.0,exponential,"{""initial"": 0.55, ""floor_min"": 0.2, ""K"": 50.0}"
V5-decayexp,1235,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/opulous_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1235_n6000.db,46,197,6000,22203,17396,449,1071,1234,0.9627536231884058,0.48,0.52,144.0,2913.385,5899.0,5899.0,exponential,"{""initial"": 0.55, ""floor_min"": 0.2, ""K"": 50.0}"
V5-decayexp,1236,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/algofi_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1236_n6000.db,46,185,6000,22457,17330,491,672,2530,0.9628768115942029,0.48,0.52,144.0,3258.9883333333332,5883.0,5883.0,exponential,"{""initial"": 0.55, ""floor_min"": 0.2, ""K"": 50.0}"
V5-decayexp,1237,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/goracle_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1237_n6000.db,46,173,6000,23751,16783,366,866,1798,0.9656413043478261,0.48,0.52,144.0,3257.722333333333,5889.0,5888.0,exponential,"{""initial"": 0.55, ""floor_min"": 0.2, ""K"": 50.0}"
V5-decayexp,1238,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayexp_seed1238_n6000.db,47,183,6000,22000,17517,408,559,691,0.9776177536231884,0.48,0.52,144.0,2893.659166666667,5891.0,5891.0,exponential,"{""initial"": 0.55, ""floor_min"": 0.2, ""K"": 50.0}"
