corpus,variant,seed,signal_name,channel_name,pearson_r,n_pulls
D1A,V5_decayexp,1235,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayexp,1235,recent_marginal_discovery_rate,discovery_binary_reward,0.093176,3000
D1A,V5_decayexp,1235,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayexp,1235,singleton_failure_flag,discovery_binary_reward,-0.054525,3000
D1A,V5_decayexp,1235,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1235,mutation_substrategy_uniqueness,discovery_binary_reward,-0.027984,3000
D1A,V5_decayexp,1235,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayexp,1235,d_loc_le_2_flag,discovery_binary_reward,-0.115867,3000
D1A,V5_decayexp,1235,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1236,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayexp,1236,recent_marginal_discovery_rate,discovery_binary_reward,0.110681,3000
D1A,V5_decayexp,1236,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayexp,1236,singleton_failure_flag,discovery_binary_reward,-0.041159,3000
D1A,V5_decayexp,1236,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1236,mutation_substrategy_uniqueness,discovery_binary_reward,-0.001963,3000
D1A,V5_decayexp,1236,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayexp,1236,d_loc_le_2_flag,discovery_binary_reward,-0.087191,3000
D1A,V5_decayexp,1236,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1237,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayexp,1237,recent_marginal_discovery_rate,discovery_binary_reward,0.068389,3000
D1A,V5_decayexp,1237,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayexp,1237,singleton_failure_flag,discovery_binary_reward,-0.054669,3000
D1A,V5_decayexp,1237,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1237,mutation_substrategy_uniqueness,discovery_binary_reward,-0.022307,3000
D1A,V5_decayexp,1237,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayexp,1237,d_loc_le_2_flag,discovery_binary_reward,-0.106482,3000
D1A,V5_decayexp,1237,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1238,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayexp,1238,recent_marginal_discovery_rate,discovery_binary_reward,0.113907,3000
D1A,V5_decayexp,1238,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayexp,1238,singleton_failure_flag,discovery_binary_reward,-0.060343,3000
D1A,V5_decayexp,1238,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayexp,1238,mutation_substrategy_uniqueness,discovery_binary_reward,-0.038915,3000
D1A,V5_decayexp,1238,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayexp,1238,d_loc_le_2_flag,discovery_binary_reward,-0.105624,3000
D1A,V5_decayexp,1238,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1234,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayepoch,1234,recent_marginal_discovery_rate,discovery_binary_reward,0.091471,3000
D1A,V5_decayepoch,1234,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayepoch,1234,singleton_failure_flag,discovery_binary_reward,-0.060097,3000
D1A,V5_decayepoch,1234,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1234,mutation_substrategy_uniqueness,discovery_binary_reward,-0.057067,3000
D1A,V5_decayepoch,1234,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayepoch,1234,d_loc_le_2_flag,discovery_binary_reward,-0.116864,3000
D1A,V5_decayepoch,1234,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1235,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayepoch,1235,recent_marginal_discovery_rate,discovery_binary_reward,0.076444,3000
D1A,V5_decayepoch,1235,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayepoch,1235,singleton_failure_flag,discovery_binary_reward,-0.059955,3000
D1A,V5_decayepoch,1235,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1235,mutation_substrategy_uniqueness,discovery_binary_reward,-0.012932,3000
D1A,V5_decayepoch,1235,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayepoch,1235,d_loc_le_2_flag,discovery_binary_reward,-0.118213,3000
D1A,V5_decayepoch,1235,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1236,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayepoch,1236,recent_marginal_discovery_rate,discovery_binary_reward,0.081335,3000
D1A,V5_decayepoch,1236,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayepoch,1236,singleton_failure_flag,discovery_binary_reward,-0.069794,3000
D1A,V5_decayepoch,1236,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1236,mutation_substrategy_uniqueness,discovery_binary_reward,-0.02029,3000
D1A,V5_decayepoch,1236,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayepoch,1236,d_loc_le_2_flag,discovery_binary_reward,-0.114972,3000
D1A,V5_decayepoch,1236,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1237,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayepoch,1237,recent_marginal_discovery_rate,discovery_binary_reward,0.106734,3000
D1A,V5_decayepoch,1237,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayepoch,1237,singleton_failure_flag,discovery_binary_reward,-0.061085,3000
D1A,V5_decayepoch,1237,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1237,mutation_substrategy_uniqueness,discovery_binary_reward,-0.030698,3000
D1A,V5_decayepoch,1237,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayepoch,1237,d_loc_le_2_flag,discovery_binary_reward,-0.111896,3000
D1A,V5_decayepoch,1237,d_loc_le_2_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1238,f_new_flag,discovery_binary_reward,0.0,3000
D1A,V5_decayepoch,1238,recent_marginal_discovery_rate,discovery_binary_reward,0.100591,3000
D1A,V5_decayepoch,1238,recent_marginal_discovery_rate,f_new_flag,0.0,3000
D1A,V5_decayepoch,1238,singleton_failure_flag,discovery_binary_reward,-0.055107,3000
D1A,V5_decayepoch,1238,singleton_failure_flag,f_new_flag,0.0,3000
D1A,V5_decayepoch,1238,mutation_substrategy_uniqueness,discovery_binary_reward,-0.051667,3000
D1A,V5_decayepoch,1238,mutation_substrategy_uniqueness,f_new_flag,0.0,3000
D1A,V5_decayepoch,1238,d_loc_le_2_flag,discovery_binary_reward,-0.130336,3000
D1A,V5_decayepoch,1238,d_loc_le_2_flag,f_new_flag,0.0,3000
