corpus,variant,seed,signal_name,n_mutations,fire_count,fire_rate_full,fire_rate_post_local,median_value
D1.A-decayepoch,D1.A-decayepoch,1236,recent_marginal_discovery_rate,6000,3451,0.575167,0.279667,0.05
D1.A-decayepoch,D1.A-decayepoch,1236,singleton_failure_flag,6000,803,0.133833,0.122667,
D1.A-decayepoch,D1.A-decayepoch,1236,mutation_substrategy_uniqueness,6000,1945,0.324167,0.276333,
D1.A-decayepoch,D1.A-decayepoch,1236,d_loc_le_2_flag,6000,2902,0.483667,0.434,
D1.A-decayepoch,D1.A-decayepoch,1237,f_new_flag,6000,11,0.001833,0.0,
D1.A-decayepoch,D1.A-decayepoch,1237,recent_marginal_discovery_rate,6000,3333,0.5555,0.237,0.05
D1.A-decayepoch,D1.A-decayepoch,1237,singleton_failure_flag,6000,812,0.135333,0.121667,
D1.A-decayepoch,D1.A-decayepoch,1237,mutation_substrategy_uniqueness,6000,1898,0.316333,0.267,
D1.A-decayepoch,D1.A-decayepoch,1237,d_loc_le_2_flag,6000,2989,0.498167,0.447667,
D1.A-decayepoch,D1.A-decayepoch,1238,f_new_flag,6000,10,0.001667,0.0,
D1.A-decayepoch,D1.A-decayepoch,1238,recent_marginal_discovery_rate,6000,3256,0.542667,0.321667,0.05
D1.A-decayepoch,D1.A-decayepoch,1238,singleton_failure_flag,6000,811,0.135167,0.120667,
D1.A-decayepoch,D1.A-decayepoch,1238,mutation_substrategy_uniqueness,6000,1905,0.3175,0.266333,
D1.A-decayepoch,D1.A-decayepoch,1238,d_loc_le_2_flag,6000,2914,0.485667,0.436333,
