variant,seed,N,n_planted_finds,planted_find_indices,n_benign_accepts,benign_accept_indices,benign_accept_kinds
V5_control,1241,5000,70,19 93 190 299 418 492 518 594 600 617 619 717 779 817 919 920 992 1094 1120 1121 1191 1192 1283 1490 1719 1916 1918 1996 2200 2217 2219 2290 2319 2393 2519 2586 2616 2617 2684 2785 2787 2789 2815 2881 2983 2998 3015 3200 3215 3386 3416 3520 3617 3618 3719 3795 3883 3993 4017 4219 4317 4421 4480 4591 4598 4617 4685 4692 4694 4986,0,,
V5_control,1242,5000,71,17 96 161 190 316 389 499 519 520 784 818 898 920 979 982 1088 1092 1095 1219 1298 1384 1490 1498 1520 1719 1799 1817 1819 2117 2121 2184 2217 2384 2388 2492 2821 2883 2992 2998 3016 3082 3092 3115 3179 3218 3390 3500 3515 3519 3587 3589 3685 3715 3796 3815 3821 3917 3918 4191 4215 4290 4294 4395 4486 4515 4720 4796 4817 4819 4881 4888,0,,
V5_control,1243,5000,76,19 21 161 259 581 582 719 791 885 893 992 1018 1020 1083 1217 1282 1391 1398 1516 1517 1585 1586 1786 1818 1885 1981 1986 2017 2116 2120 2198 2283 2417 2486 2496 2521 2579 2687 2690 2699 2798 2917 3000 3084 3093 3100 3116 3381 3386 3418 3517 3719 3792 3793 3815 3820 3981 3986 3994 4015 4096 4098 4217 4220 4289 4296 4320 4390 4620 4681 4692 4780 4818 4819 4915 4985,0,,
Hybrid_cTS,1234,5000,42,19 287 400 555 642 1155 1351 1387 1436 1621 1638 1853 1857 2361 2364 2365 2547 2968 3075 3178 3271 3274 3368 3674 3680 3777 3779 3955 3985 4077 4079 4081 4245 4284 4395 4403 4497 4586 4698 4799 4804 4879,52,241 304 367 369 809 911 1014 1176 1219 1239 1313 1383 1385 1585 2063 2121 2134 2240 2479 2492 2522 2552 2601 2603 2634 2923 2939 2978 3149 3357 3446 3460 3472 3629 3857 3891 3951 4134 4204 4269 4347 4361 4431 4440 4454 4478 4693 4703 4839 4892 4941 4960,INSTR_WORD_MOD
Hybrid_cTS,1235,5000,43,287 475 489 546 589 752 826 889 993 1156 1396 1466 1767 1774 1964 1965 1969 2157 2224 2295 2471 2581 2674 2680 2732 2783 2882 3076 3081 3340 3500 3668 3798 3890 3997 4042 4100 4164 4308 4410 4708 4857 4911,49,83 87 100 226 241 351 613 763 1029 1123 1431 1530 1649 1697 1704 1744 1838 1876 1911 1981 1994 2087 2446 2529 2554 2568 2676 2752 2781 2910 3334 3439 3641 3654 3821 3860 4038 4222 4258 4301 4335 4386 4422 4482 4537 4729 4788 4803 4978,INSTR_WORD_MOD
Hybrid_cTS,1236,5000,52,18 321 357 367 491 734 901 945 1139 1249 1443 1455 1461 1547 1633 1651 1656 1794 1868 1950 2055 2065 2155 2161 2360 2465 2566 2877 2981 3076 3122 3394 3407 3489 3589 3592 3705 3761 3789 3790 3883 3992 4088 4089 4098 4124 4395 4417 4490 4492 4949 4957,53,100 226 238 350 363 413 660 890 1100 1106 1227 1360 1557 1616 1724 2069 2168 2295 2315 2378 2391 2483 2533 2567 2607 2828 2909 2956 3064 3068 3104 3215 3279 3292 3306 3418 3587 3651 3748 3797 3836 3856 3931 3985 4005 4041 4083 4222 4284 4363 4388 4402 4598,INSTR_WORD_MOD
Hybrid_cTS,1237,5000,56,158 381 480 484 550 673 846 941 1153 1352 1359 1459 1561 1575 1576 1712 1860 1873 1963 2166 2280 2543 2585 2609 2782 2879 2889 2961 3034 3079 3105 3192 3291 3389 3393 3396 3496 3612 3700 3903 4004 4013 4106 4107 4110 4118 4236 4328 4333 4425 4429 4619 4645 4826 4919 4920,38,85 86 100 239 429 698 844 1242 1360 1361 1572 1759 2130 2139 2315 2374 2530 2626 3035 3180 3196 3262 3310 3536 3670 4142 4256 4316 4351 4471 4560 4636 4673 4687 4719 4741 4764 4774,INSTR_WORD_MOD
Hybrid_cTS,1238,5000,50,158 287 481 690 787 1016 1027 1153 1236 1261 1610 1662 1766 1873 1883 2021 2065 2071 2139 2172 2374 2379 2440 2556 2690 2772 2831 2889 2986 2987 3326 3537 3601 3633 3703 3776 3871 3896 3910 3913 4021 4111 4116 4207 4208 4224 4317 4601 4742 4825,48,83 84 85 91 241 304 333 1003 1020 1453 1512 1669 1673 1876 1878 1941 1942 1958 1993 2114 2125 2150 2151 2269 2459 2477 2546 2587 2675 2756 2998 3143 3250 3377 3404 3521 3531 3556 3588 3693 3787 3966 4163 4363 4618 4666 4783 4881,INSTR_WORD_MOD
Hybrid_cTS,1239,5000,42,287 357 636 638 742 785 840 862 1042 1043 1460 1615 1766 1866 1868 2056 2059 2266 2269 2273 2324 2456 2679 2693 2735 2781 2982 3056 3165 3221 3377 3383 3821 3920 4403 4604 4609 4658 4662 4715 4877 4912,46,85 87 91 98 100 224 237 241 304 305 308 350 747 770 958 1056 1302 1304 1473 1606 1754 1806 1816 1895 1904 2109 2120 2293 2481 2543 3083 3440 3535 3860 3940 3953 4242 4257 4364 4542 4673 4682 4746 4750 4754 4887,INSTR_WORD_MOD
Hybrid_cTS,1240,5000,45,487 488 748 837 1252 1277 1455 1617 1660 1716 1819 1865 2152 2157 2378 2428 2480 2534 2670 2781 2877 2879 2880 2885 3146 3153 3265 3423 3485 3786 3794 3850 3979 3992 4024 4044 4095 4262 4289 4389 4403 4560 4595 4762 4798,49,83 87 224 226 232 241 304 742 1030 1109 1138 1235 1328 1567 1749 1951 1964 2041 2116 2256 2398 2430 2476 2511 2664 2725 3167 3395 3397 3666 3694 3849 4141 4291 4297 4329 4339 4391 4472 4493 4495 4529 4622 4667 4690 4765 4815 4897 4980,INSTR_WORD_MOD
Hybrid_cTS,1241,5000,49,19 600 640 753 1127 1147 1247 1348 1444 1459 1543 1601 1665 1755 1856 1912 1920 2061 2166 2180 2259 2280 2360 2466 2568 2573 2664 2775 2879 3236 3373 3462 3500 3620 3923 4000 4013 4096 4182 4257 4359 4402 4493 4585 4605 4696 4832 4896 4999,46,85 226 227 232 665 981 1070 1507 1553 1575 1702 1884 1901 2282 2294 2445 2477 2482 2614 2836 3008 3063 3309 3375 3402 3502 3516 3524 3527 3550 3587 3638 3674 3698 3735 3793 3924 3929 4083 4090 4321 4549 4614 4680 4786 4861,INSTR_WORD_MOD
Hybrid_cTS,1242,5000,50,17 160 344 478 542 562 572 641 741 870 1046 1054 1090 1094 1139 1166 1240 1398 1525 1766 1860 1984 2254 2257 2259 2463 2772 2876 2926 2949 3167 3466 3488 3510 3581 3602 3640 3675 3791 3852 3928 4035 4046 4095 4098 4100 4392 4494 4809 4908,46,91 99 100 232 307 332 396 408 1025 1060 1409 1428 1493 1798 1912 2167 2322 2441 2553 2636 2666 2686 2752 2762 2857 2927 2963 2975 3025 3043 3244 3283 3346 3368 3392 3402 3458 3585 3629 4080 4252 4315 4332 4444 4700 4923,INSTR_WORD_MOD
Hybrid_cTS,1243,5000,49,19 21 160 481 646 649 673 979 1032 1345 1460 1562 1711 1862 1864 1944 1956 2004 2056 2177 2269 2276 2283 2473 2501 2519 2584 2743 3038 3303 3318 3411 3669 3685 3705 4007 4008 4096 4108 4183 4318 4326 4403 4408 4612 4713 4779 4810 4915,48,84 98 236 241 337 378 405 407 769 1334 1352 1426 1439 1500 1501 1561 1691 1728 1928 2083 2178 2433 2448 2506 2651 2757 2834 2871 3043 3069 3071 3296 3412 3512 3559 3703 3751 3929 4058 4097 4199 4308 4356 4436 4495 4498 4507 4974,INSTR_WORD_MOD
