corpus,variant,seed,db_path,prod_buggy_memory_keys,prod_corrected_memory_keys,delta_memory_keys,delta_memory_pct,prod_buggy_lookup_keys,prod_corrected_lookup_keys,prod_buggy_total,prod_corrected_total,delta_total,prod_buggy_memory_regions_json,prod_corrected_memory_regions_json
V5,V5,1241,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db,92,121,29,31.52,101,101,193,222,29,"{""user"": 52, ""zero_page"": 40}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""user"": 48, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 41}"
V5,V5,1242,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db,91,120,29,31.87,99,99,190,219,29,"{""user"": 49, ""zero_page"": 42}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""user"": 49, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 39}"
V5,V5,1243,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db,93,124,31,33.33,86,86,179,210,31,"{""user"": 50, ""zero_page"": 43}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""user"": 49, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 42}"
D1.A-decayexp,D1.A-decayexp,1234,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1234_n6000.db,95,124,29,30.53,97,97,192,221,29,"{""user"": 52, ""zero_page"": 43}","{""ecall_dispatch"": 4, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 4, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 51, ""user_bigint"": 1, ""user_regs"": 7, ""zero_page"": 41}"
D1.A-decayexp,D1.A-decayexp,1235,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/opulous_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1235_n6000.db,105,135,30,28.57,92,92,197,227,30,"{""user"": 53, ""zero_page"": 52}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 52, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 50}"
D1.A-decayexp,D1.A-decayexp,1236,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/algofi_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1236_n6000.db,100,129,29,29.0,85,85,185,214,29,"{""user"": 53, ""zero_page"": 47}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 53, ""user_bigint"": 1, ""user_regs"": 7, ""zero_page"": 43}"
D1.A-decayexp,D1.A-decayexp,1237,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/goracle_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1237_n6000.db,89,118,29,32.58,84,84,173,202,29,"{""user"": 47, ""zero_page"": 42}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 45, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 40}"
D1.A-decayexp,D1.A-decayexp,1238,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayexp_seed1238_n6000.db,95,126,31,32.63,88,88,183,214,31,"{""user"": 49, ""zero_page"": 46}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 49, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 43}"
D1.A-decayepoch,D1.A-decayepoch,1234,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1234_n6000.db,96,126,30,31.25,94,94,190,220,30,"{""user"": 51, ""zero_page"": 45}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""user"": 49, ""user_bigint"": 1, ""user_regs"": 7, ""zero_page"": 45}"
D1.A-decayepoch,D1.A-decayepoch,1235,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/polynize_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1235_n6000.db,104,135,31,29.81,93,93,197,228,31,"{""user"": 53, ""zero_page"": 51}","{""ecall_dispatch"": 3, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 52, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 49}"
D1.A-decayepoch,D1.A-decayepoch,1236,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/gard_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1236_n6000.db,95,125,30,31.58,82,82,177,207,30,"{""user"": 49, ""zero_page"": 46}","{""ecall_dispatch"": 4, ""invalid"": 4, ""kernel"": 5, ""machine_regs"": 4, ""machine_special"": 7, ""user"": 48, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 44}"
D1.A-decayepoch,D1.A-decayepoch,1237,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/zone_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1237_n6000.db,97,125,28,28.87,96,96,193,221,28,"{""user"": 47, ""zero_page"": 50}","{""ecall_dispatch"": 3, ""invalid"": 3, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 42, ""user_bigint"": 1, ""user_regs"": 7, ""zero_page"": 51}"
D1.A-decayepoch,D1.A-decayepoch,1238,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayepoch_seed1238_n6000.db,92,123,31,33.7,91,91,183,214,31,"{""user"": 46, ""zero_page"": 46}","{""ecall_dispatch"": 4, ""invalid"": 2, ""kernel"": 5, ""machine_regs"": 5, ""machine_special"": 7, ""trap_dispatch_and_beyond"": 1, ""user"": 45, ""user_bigint"": 2, ""user_regs"": 7, ""zero_page"": 45}"
