run_id,fuzzer,variant,kind,role,seed,inject_step,a4_step,mutated_value,mutated_word_hex,field_class,outcome_class,intrastep_local,interstep_local,global,layers_triple,failure_count,constraints_json
arguzz_INSTR_WORD_MOD_s22,arguzz,,INSTR_WORD_MOD,add,22,195,193,,0x00c585a3,format_change,CONSTRAINT_REJECT,2,0,0,2/0/0,2,"[{""layer"": ""intrastep-local"", ""full_loc"": ""AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87)"", ""residue"": 1, ""cycle"": 14866, ""step"": 193, ""major"": 6, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87)"", ""value"": 1, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at  OpSB ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :129:18)))"", ""residue"": 16, ""cycle"": 14866, ""step"": 193, ""major"": 6, ""minor"": 0, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :96:19) at  OpSB ( zirgen/circuit/rv32im/v2/dsl/ins"", ""value"": 16, ""verified"": false, ""reason"": ""non-scalar mutation""}}]"
arguzz_INSTR_WORD_MOD_s23,arguzz,,INSTR_WORD_MOD,add,23,195,193,,0x00c584b3,dest_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s24,arguzz,,INSTR_WORD_MOD,add,24,195,193,,0x00c58533,dest_reg_a0,CONSTRAINT_REJECT,6,0,1,6/0/1,6,"[{""layer"": ""intrastep-local"", ""full_loc"": ""AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87)"", ""residue"": 1, ""cycle"": 14867, ""step"": 194, ""major"": 6, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87)"", ""value"": 1, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( OpSW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :160:20) at  Mem1 ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :73:10)))"", ""residue"": 1, ""cycle"": 14867, ""step"": 194, ""major"": 6, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( OpSW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :160:20) at  Mem1 ( zirgen/circuit/rv32im/v2/dsl/inst_mem"", ""value"": 1, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( OpSW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :161:20) at  Mem1 ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :73:10)))"", ""residue"": 1, ""cycle"": 14867, ""step"": 194, ""major"": 6, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( OpSW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :161:20) at  Mem1 ( zirgen/circuit/rv32im/v2/dsl/inst_mem"", ""value"": 1, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87)"", ""residue"": 1, ""cycle"": 14868, ""step"": 195, ""major"": 5, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""AddrDecomposeBits(zirgen/circuit/rv32im/v2/dsl/u32.zir:87)"", ""value"": 1, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( OpLW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :108:20) at  Mem0 ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :55:10)))"", ""residue"": 1, ""cycle"": 14868, ""step"": 195, ""major"": 5, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( OpLW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :108:20) at  Mem0 ( zirgen/circuit/rv32im/v2/dsl/inst_mem"", ""value"": 1, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( OpLW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :109:20) at  Mem0 ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :55:10)))"", ""residue"": 1, ""cycle"": 14868, ""step"": 195, ""major"": 5, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( OpLW ( zirgen/circuit/rv32im/v2/dsl/inst_mem.zir :109:20) at  Mem0 ( zirgen/circuit/rv32im/v2/dsl/inst_mem"", ""value"": 1, ""verified"": false, ""reason"": ""non-scalar mutation""}}, {""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s25,arguzz,,INSTR_WORD_MOD,add,25,195,193,,0x3f0bd667,control_flow,PROVE_ERROR,0,0,0,—,0,[]
arguzz_INSTR_WORD_MOD_s26,arguzz,,INSTR_WORD_MOD,add,26,195,193,,0x00c581b3,dest_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s27,arguzz,,INSTR_WORD_MOD,add,27,195,193,,0x35fa17e7,control_flow,PROVE_ERROR,0,0,0,—,0,[]
arguzz_INSTR_WORD_MOD_s28,arguzz,,INSTR_WORD_MOD,add,28,195,193,,0x02c585b3,operation,CONSTRAINT_REJECT,1,0,0,1/0/0,1,"[{""layer"": ""intrastep-local"", ""full_loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :104:18) at  OpMUL ( zirgen/circuit/rv32im/v2/dsl/inst_mul.zir :63:20)))"", ""residue"": 2013265920, ""cycle"": 14466, ""step"": 193, ""major"": 3, ""minor"": 2, ""provenance"": {""layer"": ""intrastep-local"", ""loc"": ""loc(callsite( VerifyOpcodeF3F7 ( zirgen/circuit/rv32im/v2/dsl/inst.zir :104:18) at  OpMUL ( zirgen/circuit/rv32im/v2/dsl"", ""value"": 2013265920, ""verified"": false, ""reason"": ""non-scalar mutation""}}]"
arguzz_INSTR_WORD_MOD_s29,arguzz,,INSTR_WORD_MOD,add,29,195,193,,0x7f72226f,control_flow,PROVE_ERROR,0,0,0,—,0,[]
arguzz_INSTR_WORD_MOD_s3,arguzz,,INSTR_WORD_MOD,add,3,195,193,,0x004585b3,src_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
arguzz_INSTR_WORD_MOD_s30,arguzz,,INSTR_WORD_MOD,add,30,195,193,,0x00c587b3,dest_reg,GLOBAL_REJECT,0,0,1,0/0/1,0,"[{""layer"": ""global"", ""full_loc"": ""GLOBAL:family:memory residue nonzero"", ""residue"": null, ""cycle"": null, ""step"": null, ""major"": null, ""minor"": null, ""provenance"": null, ""family"": ""memory"", ""address"": null}]"
